out_id,taxa_assignment,S6.BO.S9,S6.BN.L8,S6.BN.R7,S6.FO.L1,S6.FN.L5,S6.FO.R8,S6.FN.L4,S6.BN.S2,S6.FN.L10,S6.BN.R5,S6.BN.R4,S6.FN.R7,S6.BN.R1,S6.BN.L9,S6.BN.R2,S6.FO.L2,S6.BN.R9,S6.FN.S5,S6.FO.L3,S6.BO.R7,S6.BN.R3,S6.BN.L2,S6.BO.R10,S6.FN.S1,S6.BO.S8,S6.BO.R8,S6.BO.S5,S6.BO.S7,S6.BN.S9,S6.BN.S10,S6.BO.S4,S6.BN.S5,S6.BN.S8,S6.FO.S5,S6.FN.S7,S6.BO.S10,S6.FO.S6,S6.FO.S8,S6.FO.S2,S6.BN.S4,S6.BO.S1,S6.BO.S2,S6.BO.S6,S6.FN.L2,S6.BN.L3,S6.FN.L8,S6.BN.L10,S6.BO.L9,S6.FO.L6,S6.FO.R9,S6.FO.R3,S6.FN.R10,S6.BO.R5,S6.BO.L3,S6.FO.S10,S6.FO.R6,S6.FN.S4,S6.FN.S10,S6.FO.S3,S6.BN.L7,S6.BN.S7,S6.BN.S3,S6.FN.S8,S6.FO.S1,S6.BN.R10,S6.FN.R9,S6.BN.R8,S6.FN.S6,S6.FN.S2,S6.FN.S9,S6.BN.L5,S6.BO.R6,S6.BO.L10,S6.FO.R2,S6.FN.L9,S6.FN.L3,S6.FO.L10,S6.FN.L1,S6.FO.S7,S6.FN.R6,S6.FO.S9,S6.BO.S3,S6.BN.S6,S6.BO.L2,S6.BO.L8,S6.FO.R4,S6.FN.R1,S6.BN.L6,S6.BO.R3,S6.BO.R2,S6.FO.S4,S6.FN.S3,S6.FO.R10,S6.FO.R1,S6.BO.L1,S6.BO.L5,S6.FO.L7,S6.FN.L7,S6.FN.L6,S6.FO.L9,S6.FN.R5,S6.FN.R4,S6.BO.L6,S6.BN.R6,S6.FO.L8,S6.FO.R5,S6.BO.L4,S6.BO.R9,S6.BN.L4,S6.FN.R8,S6.BN.L1,S6.BO.R4,S6.FN.R3,S6.FO.R7,S6.FN.R2,S6.BO.R1,S6.BO.L7
derep_917,None,4,23,28,8,1,42,604,54,163,73,79,2,27,62,17,22,10,14,74,2,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_9798,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_911,KJ484706|k__Fungi; p__Glomeromycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Glomeromycota_sp|SH529589.07FU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_9795,None,0,0,0,0,0,0,0,28,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_10330,KJ481209|k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Stemphylium; s__Stemphylium_sp|SH199527.07FU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_6548,None,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,10,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_919,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,157,18,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_9792,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_3759,KF359557|k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Tolypocladium; s__Tolypocladium_album,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derep_121805,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
